email,nps,survey_year,primary_category,gender,age,total_sessions,follower_count,w2_active,m2_active,genres_books,genres_screenpla,genres_podcasts,first_app_open_d,user_type
1143,7,24,Books,Female,45-54,57,0,TRUE,TRUE,"[""Thriller"",""True Crime"",""Psychological Thrillers"",""Whodunit"",""Business"",""Entrepreneurship"",""Classics"",""Historical Fiction"",""Self Help"",""Psychology"",""Memoirs"",""Shocking Twists"",""Mystery"",""Tearjerkers"",""Comedy""]",undefined,"[""Pop Culture"",""Science & Technology"",""Interviews"",""Society & Culture""]",2021-05-28T16:54:33,app_user
1144,10,24,TV/Movies,Male,45-54,undefined,undefined,FALSE,FALSE,undefined,undefined,undefined,undefined,app_user
1145,10,24,"TV/Movies, Books",Female,25-34,473,24,FALSE,TRUE,"[""Romance"",""Young Adult"",""Thriller"",""Shocking Twists"",""Psychological Thrillers"",""Mystery"",""True Crime"",""Whodunit""]","[""Crime"",""Dark Crime"",""True Crime"",""Vigilante"",""Thriller"",""Shocking Twists"",""Psychological Thrillers"",""Mystery"",""Spy Thrillers"",""Suspense"",""Action & Adventure"",""Action"",""Whodunit""]","[""Crime"",""True Crime"",""Unsolved Crime""]",2023-04-12T19:25:21,app_user
1146,5,24,TV/Movies,Female,55-64,undefined,undefined,FALSE,FALSE,undefined,undefined,undefined,undefined,app_user
1147,7,24,Books,Female,45-54,131,0,TRUE,TRUE,"[""Romance"",""Romantic Comedies"",""Thriller"",""Historical Fiction"",""Psychological Thrillers"",""Spy Thrillers""]","[""Comedy"",""Romantic Comedy"",""Romance"",""Family Friendly"",""Drama"",""Period Dramas"",""Thriller"",""Psychological Thrillers""]",undefined,undefined,app_user
1148,10,24,TV/Movies,Male,45-54,832,1,TRUE,TRUE,"[""Science Fiction"",""Fantasy"",""Memoirs""]","[""Science Fiction"",""Superheroes"",""Marvel"",""Action & Adventure"",""Western"",""Zombie"",""Comic Book Adaptations"",""Fantasy""]","[""Basketball"",""Pop Culture"",""TV & Movies"",""Fiction"",""History""]",2021-09-18T20:08:34,app_user
1149,7,24,TV/Movies,Male,65+,undefined,undefined,FALSE,FALSE,undefined,undefined,undefined,undefined,app_user
1150,10,24,TV/Movies,Female,45-54,277,17,TRUE,TRUE,"[""Romance"",""Romantic Comedies"",""Young Adult"",""Comedy"",""Thriller"",""Humor"",""Shocking Twists"",""Psychological Thrillers"",""Spy Thrillers"",""Mystery"",""Whodunit""]",undefined,undefined,2022-10-20T13:01:09,app_user
1151,7,24,TV/Movies,Female,35-44,3,0,FALSE,FALSE,"[""Fantasy"",""Historical Fiction"",""Romance"",""Young Adult""]","[""Comedy"",""Romantic Comedy"",""Romance"",""Fantasy"",""Action & Adventure"",""Family Friendly"",""Disney""]",undefined,undefined,app_user
1152,4,24,TV/Movies,Female,55-64,2,0,FALSE,FALSE,undefined,undefined,undefined,2020-02-03T21:11:33,app_user
